name,single_channel,eight_channel,plate_master,cobra,nimbus,tempest,transfers,flows,active_flows,time
All Sources,948.0,544.0,92832.0,1541.4,0.0,134.60000000000002,95999.99999999997,3659.0,11767,26.41752375
No Reservoir,49322.19999999999,35.2,0.0,1537.2000000000003,0.0,45105.4,95999.99999999994,95969.19999999998,11792,26.811823
Minimize Active Flows,961.8000000000001,953.6,92332.8,1610.0000000000002,0.0,141.8,95999.99999999997,3794.6000000000004,11744,238.811296459
Minimize Configurations,95999.99999999997,0.0,0.0,0.0,0.0,0.0,95999.99999999997,96000.0,11946,28.153382791
